               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.061496,             0.05705,             0.02465,             0.59459,             0.75506,             0.74634,             0.34485,            0.041925,            0.022524,            0.020315,            0.007624,            0.007624,            0.007624
                 122,            0.057079,            0.032167,             0.02541,             0.59459,             0.75506,             0.74634,             0.34485,            0.041925,            0.022524,            0.020315,           0.0076042,           0.0076042,           0.0076042
                 123,            0.055413,            0.046126,            0.025254,             0.48799,              0.8583,             0.64543,             0.20145,            0.051194,            0.023023,            0.018768,           0.0075844,           0.0075844,           0.0075844
                 124,            0.066353,            0.038909,            0.024093,             0.48799,              0.8583,             0.64543,             0.20145,            0.051194,            0.023023,            0.018768,           0.0075646,           0.0075646,           0.0075646
                 125,            0.058377,            0.036444,            0.020967,             0.48799,              0.8583,             0.64543,             0.20145,            0.051194,            0.023023,            0.018768,           0.0075448,           0.0075448,           0.0075448
                 126,            0.061838,             0.04249,            0.024178,             0.48799,              0.8583,             0.64543,             0.20145,            0.051194,            0.023023,            0.018768,            0.007525,            0.007525,            0.007525
                 127,            0.059556,            0.039736,            0.023052,             0.39279,             0.96154,             0.57501,             0.35447,            0.047683,            0.022472,            0.017354,           0.0075052,           0.0075052,           0.0075052
                 128,            0.051895,            0.043226,            0.022388,             0.39279,             0.96154,             0.57501,             0.35447,            0.047683,            0.022472,            0.017354,           0.0074854,           0.0074854,           0.0074854
                 129,            0.053309,            0.040714,            0.023236,             0.39279,             0.96154,             0.57501,             0.35447,            0.047683,            0.022472,            0.017354,           0.0074656,           0.0074656,           0.0074656
                 130,            0.052353,            0.032419,            0.023111,             0.39279,             0.96154,             0.57501,             0.35447,            0.047683,            0.022472,            0.017354,           0.0074458,           0.0074458,           0.0074458
                 131,            0.055672,            0.036282,            0.021603,             0.57311,             0.93226,             0.74785,             0.40524,            0.046364,            0.021846,            0.015987,            0.007426,            0.007426,            0.007426
                 132,            0.054028,            0.036816,            0.021927,             0.57311,             0.93226,             0.74785,             0.40524,            0.046364,            0.021846,            0.015987,           0.0074062,           0.0074062,           0.0074062
                 133,            0.056475,            0.038261,            0.019859,             0.57311,             0.93226,             0.74785,             0.40524,            0.046364,            0.021846,            0.015987,           0.0073864,           0.0073864,           0.0073864
                 134,             0.05069,            0.032872,            0.023056,             0.57311,             0.93226,             0.74785,             0.40524,            0.046364,            0.021846,            0.015987,           0.0073666,           0.0073666,           0.0073666
                 135,             0.06536,            0.053077,            0.021373,             0.71436,             0.82901,             0.89379,             0.40858,            0.048469,            0.021764,            0.014848,           0.0073468,           0.0073468,           0.0073468
                 136,            0.058488,            0.043643,            0.020094,             0.71436,             0.82901,             0.89379,             0.40858,            0.048469,            0.021764,            0.014848,            0.007327,            0.007327,            0.007327
                 137,            0.055641,            0.040816,            0.021273,             0.71436,             0.82901,             0.89379,             0.40858,            0.048469,            0.021764,            0.014848,           0.0073072,           0.0073072,           0.0073072
                 138,            0.055504,            0.032413,            0.020827,             0.71436,             0.82901,             0.89379,             0.40858,            0.048469,            0.021764,            0.014848,           0.0072874,           0.0072874,           0.0072874
                 139,            0.053783,            0.037657,            0.017629,             0.64136,             0.97368,             0.85946,             0.18221,            0.065997,            0.022328,            0.013861,           0.0072676,           0.0072676,           0.0072676
                 140,             0.06394,            0.041512,            0.017822,             0.64136,             0.97368,             0.85946,             0.18221,            0.065997,            0.022328,            0.013861,           0.0072478,           0.0072478,           0.0072478
                 141,            0.068726,             0.03618,            0.019575,             0.64136,             0.97368,             0.85946,             0.18221,            0.065997,            0.022328,            0.013861,            0.007228,            0.007228,            0.007228
                 142,            0.069127,            0.038755,            0.019955,             0.64136,             0.97368,             0.85946,             0.18221,            0.065997,            0.022328,            0.013861,           0.0072082,           0.0072082,           0.0072082
                 143,            0.066479,            0.034035,            0.019262,             0.72837,             0.97368,             0.93166,             0.59749,             0.04725,             0.02043,            0.012867,           0.0071884,           0.0071884,           0.0071884
                 144,            0.054718,            0.037151,             0.01896,             0.72837,             0.97368,             0.93166,             0.59749,             0.04725,             0.02043,            0.012867,           0.0071686,           0.0071686,           0.0071686
                 145,            0.056033,             0.03431,            0.019991,             0.72837,             0.97368,             0.93166,             0.59749,             0.04725,             0.02043,            0.012867,           0.0071488,           0.0071488,           0.0071488
                 146,            0.051232,            0.042087,            0.017917,             0.72837,             0.97368,             0.93166,             0.59749,             0.04725,             0.02043,            0.012867,            0.007129,            0.007129,            0.007129
                 147,            0.050373,            0.047467,            0.017465,             0.40752,             0.95648,             0.55009,             0.33667,            0.049234,            0.021034,            0.012151,           0.0071092,           0.0071092,           0.0071092
                 148,            0.053184,            0.040693,            0.020522,             0.40752,             0.95648,             0.55009,             0.33667,            0.049234,            0.021034,            0.012151,           0.0070894,           0.0070894,           0.0070894
                 149,            0.052634,            0.033501,              0.0168,             0.40752,             0.95648,             0.55009,             0.33667,            0.049234,            0.021034,            0.012151,           0.0070696,           0.0070696,           0.0070696
                 150,            0.053881,            0.049408,            0.017498,             0.40752,             0.95648,             0.55009,             0.33667,            0.049234,            0.021034,            0.012151,           0.0070498,           0.0070498,           0.0070498
                 151,            0.053887,            0.032199,            0.016948,             0.46494,                   1,             0.74679,             0.35815,            0.049206,            0.020869,            0.011681,             0.00703,             0.00703,             0.00703
                 152,            0.053761,            0.054784,            0.017996,             0.46494,                   1,             0.74679,             0.35815,            0.049206,            0.020869,            0.011681,           0.0070102,           0.0070102,           0.0070102
                 153,            0.052409,            0.038618,            0.016885,             0.46494,                   1,             0.74679,             0.35815,            0.049206,            0.020869,            0.011681,           0.0069904,           0.0069904,           0.0069904
                 154,            0.054625,            0.031608,            0.017437,             0.46494,                   1,             0.74679,             0.35815,            0.049206,            0.020869,            0.011681,           0.0069706,           0.0069706,           0.0069706
                 155,            0.052134,            0.035696,            0.018932,             0.44703,              0.9972,             0.71019,             0.37282,            0.042712,            0.020603,            0.010841,           0.0069508,           0.0069508,           0.0069508
                 156,             0.05266,            0.037939,            0.017128,             0.44703,              0.9972,             0.71019,             0.37282,            0.042712,            0.020603,            0.010841,            0.006931,            0.006931,            0.006931
                 157,            0.046183,            0.037415,            0.017015,             0.44703,              0.9972,             0.71019,             0.37282,            0.042712,            0.020603,            0.010841,           0.0069112,           0.0069112,           0.0069112
                 158,            0.045562,            0.038962,            0.017618,             0.44703,              0.9972,             0.71019,             0.37282,            0.042712,            0.020603,            0.010841,           0.0068914,           0.0068914,           0.0068914
                 159,            0.045572,            0.037523,            0.017304,             0.58948,             0.97368,             0.84401,             0.43886,            0.044798,            0.020378,            0.010076,           0.0068716,           0.0068716,           0.0068716
                 160,            0.048763,            0.041431,            0.015588,             0.58948,             0.97368,             0.84401,             0.43886,            0.044798,            0.020378,            0.010076,           0.0068518,           0.0068518,           0.0068518
